topic,payload_raw,t_server_utc,gx,gy,gz,t_device_ms,_id,source
sit225/gyroscope,"{""gx"":0.1831,""gy"":0.0610,""gz"":-0.4883,""t_device_ms"":2037507}",2025-09-02 06:57:44.680893+00:00,0.1831,0.061,-0.4883,2037507,68b69568125e75235a243450,tinydb
sit225/gyroscope,"{""gx"":0.1831,""gy"":0.0000,""gz"":-0.5493,""t_device_ms"":2038507}",2025-09-02 06:57:45.809757+00:00,0.1831,0.0,-0.5493,2038507,68b69569125e75235a243451,tinydb
sit225/gyroscope,"{""gx"":0.1831,""gy"":0.0610,""gz"":-0.4883,""t_device_ms"":2042507}",2025-09-02 06:57:49.902554+00:00,0.1831,0.061,-0.4883,2042507,68b6956d125e75235a243455,tinydb
sit225/gyroscope,"{""gx"":0.1831,""gy"":0.0000,""gz"":-0.4883,""t_device_ms"":2043507}",2025-09-02 06:57:50.825371+00:00,0.1831,0.0,-0.4883,2043507,68b6956e125e75235a243456,tinydb
sit225/gyroscope,"{""gx"":0.1831,""gy"":0.0000,""gz"":-0.5493,""t_device_ms"":2047507}",2025-09-02 06:57:54.712895+00:00,0.1831,0.0,-0.5493,2047507,68b69572125e75235a243459,tinydb
sit225/gyroscope,"{""gx"":0.2441,""gy"":0.0000,""gz"":-0.4883,""t_device_ms"":2048507}",2025-09-02 06:57:55.741882+00:00,0.2441,0.0,-0.4883,2048507,68b69573125e75235a24345a,tinydb
sit225/gyroscope,"{""gx"":0.2441,""gy"":0.0610,""gz"":-0.5493,""t_device_ms"":2049507}",2025-09-02 06:57:56.762192+00:00,0.2441,0.061,-0.5493,2049507,68b69574125e75235a24345b,tinydb
sit225/gyroscope,"{""gx"":0.2441,""gy"":0.0000,""gz"":-0.5493,""t_device_ms"":2053507}",2025-09-02 06:58:00.653380+00:00,0.2441,0.0,-0.5493,2053507,68b69578125e75235a24345e,tinydb
sit225/gyroscope,"{""gx"":0.2441,""gy"":0.0000,""gz"":-0.4883,""t_device_ms"":2054507}",2025-09-02 06:58:01.678423+00:00,0.2441,0.0,-0.4883,2054507,68b69579125e75235a24345f,tinydb
sit225/gyroscope,"{""gx"":0.3052,""gy"":0.0000,""gz"":-0.4883,""t_device_ms"":2058507}",2025-09-02 06:58:05.877035+00:00,0.3052,0.0,-0.4883,2058507,68b6957d125e75235a243462,tinydb
sit225/gyroscope,"{""gx"":0.2441,""gy"":0.0000,""gz"":-0.4883,""t_device_ms"":2059507}",2025-09-02 06:58:06.796259+00:00,0.2441,0.0,-0.4883,2059507,68b6957e125e75235a243463,tinydb
sit225/gyroscope,"{""gx"":0.1831,""gy"":0.0000,""gz"":-0.4883,""t_device_ms"":2063507}",2025-09-02 06:58:10.791778+00:00,0.1831,0.0,-0.4883,2063507,68b69582125e75235a243467,tinydb
sit225/gyroscope,"{""gx"":0.2441,""gy"":0.0000,""gz"":-0.4883,""t_device_ms"":2064507}",2025-09-02 06:58:11.818439+00:00,0.2441,0.0,-0.4883,2064507,68b69583125e75235a243468,tinydb
sit225/gyroscope,"{""gx"":0.2441,""gy"":0.0000,""gz"":-0.5493,""t_device_ms"":2068507}",2025-09-02 06:58:15.911910+00:00,0.2441,0.0,-0.5493,2068507,68b69587125e75235a24346b,tinydb
sit225/gyroscope,"{""gx"":0.1831,""gy"":0.0610,""gz"":-0.4883,""t_device_ms"":2069507}",2025-09-02 06:58:16.824301+00:00,0.1831,0.061,-0.4883,2069507,68b69588125e75235a24346c,tinydb
