_id,topic,payload_raw,t_server_utc,gx,gy,gz,t_device_ms
68ad6bcc8fa4330d3d2c0a5e,sit225/gyroscope,"{""gx"":0.1831,""gy"":0.0000,""gz"":-0.4272,""t_device_ms"":674265}",2025-08-26T08:09:48.990130+00:00,0.1831,0.0,-0.4272,674265
68ad6bcd8fa4330d3d2c0a5f,sit225/gyroscope,"{""gx"":0.1831,""gy"":0.0000,""gz"":-0.4883,""t_device_ms"":675265}",2025-08-26T08:09:49.790475+00:00,0.1831,0.0,-0.4883,675265
68ad6bce8fa4330d3d2c0a60,sit225/gyroscope,"{""gx"":0.1831,""gy"":0.0610,""gz"":-0.4883,""t_device_ms"":676265}",2025-08-26T08:09:50.822974+00:00,0.1831,0.061,-0.4883,676265
68ad6bd08fa4330d3d2c0a61,sit225/gyroscope,"{""gx"":0.1831,""gy"":0.0000,""gz"":-0.4883,""t_device_ms"":677265}",2025-08-26T08:09:52.053485+00:00,0.1831,0.0,-0.4883,677265
68ad6bd08fa4330d3d2c0a62,sit225/gyroscope,"{""gx"":0.2441,""gy"":0.0610,""gz"":-0.4272,""t_device_ms"":678265}",2025-08-26T08:09:52.848626+00:00,0.2441,0.061,-0.4272,678265
68ad6bd18fa4330d3d2c0a63,sit225/gyroscope,"{""gx"":0.1831,""gy"":0.0000,""gz"":-0.4883,""t_device_ms"":679265}",2025-08-26T08:09:53.881576+00:00,0.1831,0.0,-0.4883,679265
68ad6bd28fa4330d3d2c0a64,sit225/gyroscope,"{""gx"":0.1831,""gy"":0.0610,""gz"":-0.4883,""t_device_ms"":680265}",2025-08-26T08:09:54.977752+00:00,0.1831,0.061,-0.4883,680265
68ad6bd38fa4330d3d2c0a65,sit225/gyroscope,"{""gx"":0.1831,""gy"":0.0000,""gz"":-0.4272,""t_device_ms"":681265}",2025-08-26T08:09:55.942695+00:00,0.1831,0.0,-0.4272,681265
68ad6bd48fa4330d3d2c0a66,sit225/gyroscope,"{""gx"":0.1831,""gy"":0.0610,""gz"":-0.4883,""t_device_ms"":682265}",2025-08-26T08:09:56.980017+00:00,0.1831,0.061,-0.4883,682265
68ad6bd58fa4330d3d2c0a67,sit225/gyroscope,"{""gx"":0.1831,""gy"":0.0000,""gz"":-0.4272,""t_device_ms"":683265}",2025-08-26T08:09:57.984760+00:00,0.1831,0.0,-0.4272,683265
68ad6bd68fa4330d3d2c0a68,sit225/gyroscope,"{""gx"":0.1831,""gy"":0.0000,""gz"":-0.4272,""t_device_ms"":684265}",2025-08-26T08:09:58.796160+00:00,0.1831,0.0,-0.4272,684265
68ad6bd78fa4330d3d2c0a69,sit225/gyroscope,"{""gx"":0.1221,""gy"":0.0610,""gz"":-0.4272,""t_device_ms"":685265}",2025-08-26T08:09:59.815458+00:00,0.1221,0.061,-0.4272,685265
68ad6bd88fa4330d3d2c0a6a,sit225/gyroscope,"{""gx"":0.1831,""gy"":0.0000,""gz"":-0.4272,""t_device_ms"":686265}",2025-08-26T08:10:00.850036+00:00,0.1831,0.0,-0.4272,686265
68ad6bd98fa4330d3d2c0a6b,sit225/gyroscope,"{""gx"":0.1831,""gy"":0.0610,""gz"":-0.4272,""t_device_ms"":687265}",2025-08-26T08:10:01.870336+00:00,0.1831,0.061,-0.4272,687265
68ad6bda8fa4330d3d2c0a6c,sit225/gyroscope,"{""gx"":0.1831,""gy"":0.0000,""gz"":-0.4883,""t_device_ms"":688265}",2025-08-26T08:10:02.917251+00:00,0.1831,0.0,-0.4883,688265
68ad6bdb8fa4330d3d2c0a6d,sit225/gyroscope,"{""gx"":0.1831,""gy"":0.0610,""gz"":-0.4883,""t_device_ms"":689265}",2025-08-26T08:10:03.941040+00:00,0.1831,0.061,-0.4883,689265
68ad6bdd8fa4330d3d2c0a6e,sit225/gyroscope,"{""gx"":0.3052,""gy"":0.0610,""gz"":-0.4272,""t_device_ms"":690265}",2025-08-26T08:10:05.116357+00:00,0.3052,0.061,-0.4272,690265
68ad6bde8fa4330d3d2c0a6f,sit225/gyroscope,"{""gx"":0.3662,""gy"":0.1221,""gz"":-0.3662,""t_device_ms"":691265}",2025-08-26T08:10:06.098976+00:00,0.3662,0.1221,-0.3662,691265
68ad6bdf8fa4330d3d2c0a70,sit225/gyroscope,"{""gx"":-14.8926,""gy"":-0.1831,""gz"":-0.7935,""t_device_ms"":692265}",2025-08-26T08:10:07.020118+00:00,-14.8926,-0.1831,-0.7935,692265
68ad6bdf8fa4330d3d2c0a71,sit225/gyroscope,"{""gx"":0.1221,""gy"":0.0610,""gz"":-0.4883,""t_device_ms"":693265}",2025-08-26T08:10:07.849731+00:00,0.1221,0.061,-0.4883,693265
68ad6be08fa4330d3d2c0a72,sit225/gyroscope,"{""gx"":0.1221,""gy"":0.0000,""gz"":-0.5493,""t_device_ms"":694265}",2025-08-26T08:10:08.838000+00:00,0.1221,0.0,-0.5493,694265
68ad6be18fa4330d3d2c0a73,sit225/gyroscope,"{""gx"":0.2441,""gy"":0.0610,""gz"":-0.4272,""t_device_ms"":695265}",2025-08-26T08:10:09.937687+00:00,0.2441,0.061,-0.4272,695265
68ad6be28fa4330d3d2c0a74,sit225/gyroscope,"{""gx"":0.2441,""gy"":0.0000,""gz"":-0.4883,""t_device_ms"":696265}",2025-08-26T08:10:10.890578+00:00,0.2441,0.0,-0.4883,696265
68ad6be38fa4330d3d2c0a75,sit225/gyroscope,"{""gx"":0.1831,""gy"":0.0000,""gz"":-0.4883,""t_device_ms"":697265}",2025-08-26T08:10:11.922059+00:00,0.1831,0.0,-0.4883,697265
68ad6be48fa4330d3d2c0a76,sit225/gyroscope,"{""gx"":0.1831,""gy"":0.0610,""gz"":-0.4883,""t_device_ms"":698265}",2025-08-26T08:10:12.958619+00:00,0.1831,0.061,-0.4883,698265
68ad6be68fa4330d3d2c0a77,sit225/gyroscope,"{""gx"":0.1831,""gy"":0.0000,""gz"":-0.4883,""t_device_ms"":699265}",2025-08-26T08:10:14.017816+00:00,0.1831,0.0,-0.4883,699265
68ad6be78fa4330d3d2c0a78,sit225/gyroscope,"{""gx"":0.2441,""gy"":0.0000,""gz"":-0.4272,""t_device_ms"":700265}",2025-08-26T08:10:15.058265+00:00,0.2441,0.0,-0.4272,700265
68ad6be78fa4330d3d2c0a79,sit225/gyroscope,"{""gx"":0.1831,""gy"":0.0610,""gz"":-0.5493,""t_device_ms"":701265}",2025-08-26T08:10:15.797108+00:00,0.1831,0.061,-0.5493,701265
68ad6be88fa4330d3d2c0a7a,sit225/gyroscope,"{""gx"":0.1831,""gy"":0.0000,""gz"":-0.4883,""t_device_ms"":702265}",2025-08-26T08:10:16.820797+00:00,0.1831,0.0,-0.4883,702265
68ad6be98fa4330d3d2c0a7b,sit225/gyroscope,"{""gx"":0.1831,""gy"":0.0000,""gz"":-0.4883,""t_device_ms"":703265}",2025-08-26T08:10:17.848179+00:00,0.1831,0.0,-0.4883,703265
68ad6bea8fa4330d3d2c0a7c,sit225/gyroscope,"{""gx"":0.1831,""gy"":0.0000,""gz"":-0.4883,""t_device_ms"":704265}",2025-08-26T08:10:18.897870+00:00,0.1831,0.0,-0.4883,704265
68ad6beb8fa4330d3d2c0a7d,sit225/gyroscope,"{""gx"":0.1831,""gy"":0.0610,""gz"":-0.4883,""t_device_ms"":705265}",2025-08-26T08:10:19.935741+00:00,0.1831,0.061,-0.4883,705265
68ad6bec8fa4330d3d2c0a7e,sit225/gyroscope,"{""gx"":0.2441,""gy"":0.0000,""gz"":-0.4883,""t_device_ms"":706265}",2025-08-26T08:10:20.931168+00:00,0.2441,0.0,-0.4883,706265
68ad6bed8fa4330d3d2c0a7f,sit225/gyroscope,"{""gx"":0.2441,""gy"":0.0610,""gz"":-0.4272,""t_device_ms"":707265}",2025-08-26T08:10:21.952130+00:00,0.2441,0.061,-0.4272,707265
68ad6bee8fa4330d3d2c0a80,sit225/gyroscope,"{""gx"":0.1221,""gy"":0.0000,""gz"":-0.4272,""t_device_ms"":708265}",2025-08-26T08:10:22.970483+00:00,0.1221,0.0,-0.4272,708265
68ad6bf08fa4330d3d2c0a81,sit225/gyroscope,"{""gx"":0.1831,""gy"":0.0000,""gz"":-0.5493,""t_device_ms"":709265}",2025-08-26T08:10:24.017092+00:00,0.1831,0.0,-0.5493,709265
68ad6bf08fa4330d3d2c0a82,sit225/gyroscope,"{""gx"":0.1831,""gy"":0.0000,""gz"":-0.4883,""t_device_ms"":710265}",2025-08-26T08:10:24.817054+00:00,0.1831,0.0,-0.4883,710265
68ad6bf28fa4330d3d2c0a83,sit225/gyroscope,"{""gx"":0.2441,""gy"":0.0610,""gz"":-0.4883,""t_device_ms"":711265}",2025-08-26T08:10:26.096609+00:00,0.2441,0.061,-0.4883,711265
68ad6bf28fa4330d3d2c0a84,sit225/gyroscope,"{""gx"":0.1221,""gy"":0.0000,""gz"":-0.4272,""t_device_ms"":712265}",2025-08-26T08:10:26.897419+00:00,0.1221,0.0,-0.4272,712265
68ad6bf38fa4330d3d2c0a85,sit225/gyroscope,"{""gx"":42.2974,""gy"":0.5493,""gz"":-5.5542,""t_device_ms"":713265}",2025-08-26T08:10:27.937485+00:00,42.2974,0.5493,-5.5542,713265
68ad6bf48fa4330d3d2c0a86,sit225/gyroscope,"{""gx"":0.1221,""gy"":0.0000,""gz"":-0.4272,""t_device_ms"":714265}",2025-08-26T08:10:28.932980+00:00,0.1221,0.0,-0.4272,714265
68ad6bf58fa4330d3d2c0a87,sit225/gyroscope,"{""gx"":0.1221,""gy"":0.0610,""gz"":-0.4883,""t_device_ms"":715265}",2025-08-26T08:10:29.950946+00:00,0.1221,0.061,-0.4883,715265
