Timestamp,X,Y,Z
20250804-233514,0.549,-0.061,-0.488
20250804-233515,0.183,0.0,-0.488
20250804-233516,0.183,0.0,-0.427
20250804-233517,0.061,0.0,-0.427
20250804-233518,0.244,0.061,-0.427
20250804-233519,0.183,0.0,-0.488
20250804-233520,0.122,0.0,-0.427
20250804-233521,0.122,0.0,-0.488
20250804-233522,0.183,0.0,-0.488
20250804-233523,0.122,0.0,-0.427
20250804-233524,0.305,0.0,-0.427
20250804-233525,0.183,0.0,-0.427
20250804-233526,0.244,0.0,-0.427
20250804-233527,0.183,0.061,-0.488
20250804-233528,0.183,0.0,-0.488
20250804-233529,0.183,0.0,-0.488
20250804-233530,0.122,0.0,-0.488
20250804-233531,0.183,0.0,-0.427
20250804-233532,0.244,0.0,-0.427
20250804-233533,0.244,0.0,-0.427
20250804-233534,0.061,0.0,-0.427
20250804-233535,0.183,0.0,-0.427
20250804-233536,0.122,0.0,-0.427
20250804-233537,0.244,-0.061,-0.488
20250804-233538,-0.61,0.122,-0.488
20250804-233539,-3.235,-0.122,-0.732
20250804-233540,0.183,0.0,-0.488
20250804-233541,0.244,-0.061,-0.488
20250804-233542,8.362,0.549,-0.488
20250804-233543,0.732,-0.122,-0.549
20250804-233544,-0.122,0.061,-0.366
20250804-233545,0.488,-0.244,-0.61
20250804-233546,0.305,-0.061,-0.488
20250804-233547,0.183,0.0,-0.427
20250804-233548,-3.662,-0.366,-0.854
20250804-233549,0.183,0.0,-0.427
20250804-233550,0.0,0.244,-0.305
20250804-233551,3.601,0.122,-0.183
20250804-233552,0.305,-0.122,-0.61
20250804-233553,-1.648,0.0,-0.61
20250804-233554,0.183,0.0,-0.427
20250804-233555,0.366,0.122,-0.427
20250804-233556,2.136,0.0,0.366
20250804-233557,0.244,0.061,-0.488
20250804-233558,0.244,0.366,-0.549
20250804-233559,0.732,0.122,-0.305
20250804-233600,-3.418,-0.488,-1.343
20250804-233601,-2.441,-0.122,-1.038
20250804-233602,-1.282,-0.305,-0.61
20250804-233603,-1.526,0.549,-0.793
20250804-233604,0.244,0.0,-0.427
20250804-233605,0.427,-0.061,-0.488
20250804-233606,0.061,0.0,-0.427
20250804-233607,0.183,0.0,-0.488
20250804-233608,0.549,0.183,-0.427
20250804-233609,0.244,0.0,-0.488
20250804-233610,0.122,0.0,-0.427
20250804-233611,0.183,0.061,-0.427
20250804-233612,0.183,0.0,-0.488
20250804-233613,0.183,0.0,-0.488
20250804-233614,0.122,0.0,-0.488
20250804-233615,0.183,-0.061,-0.427
20250804-233616,0.183,0.0,-0.488
20250804-233617,0.183,0.0,-0.488
20250804-233618,0.183,0.0,-0.488
20250804-233619,0.183,0.0,-0.488
20250804-233620,0.183,0.0,-0.427
20250804-233621,0.183,0.0,-0.427
20250804-233622,0.183,0.0,-0.488
20250804-233623,0.244,0.0,-0.488
20250804-233624,0.244,0.0,-0.427
20250804-233625,0.183,0.0,-0.488
20250804-233626,0.183,0.0,-0.488
20250804-233627,0.183,0.0,-0.488
20250804-233628,0.183,0.0,-0.427
20250804-233629,0.183,0.0,-0.427
20250804-233630,0.183,0.0,-0.488
20250804-233631,0.183,0.0,-0.488
20250804-233632,-2.563,0.0,-1.953
20250804-233633,-0.061,-0.122,-0.549
20250804-233634,2.197,0.183,0.061
20250804-233635,0.183,0.0,-0.488
20250804-233636,0.183,-15.503,-0.488
20250804-233637,0.183,0.0,-0.488
20250804-233638,0.122,0.0,-0.427
20250804-233639,0.183,0.0,-0.427
20250804-233640,0.183,0.0,-0.427
20250804-233641,0.183,0.0,-0.427
20250804-233642,0.183,0.0,-0.488
20250804-233643,0.183,0.0,-0.488
20250804-233644,0.183,0.061,-0.488
20250804-233645,0.244,0.0,-0.427
20250804-233646,0.183,0.0,-0.488
20250804-233647,0.183,0.061,-0.427
20250804-233648,0.183,0.0,-0.488
20250804-233649,0.183,0.0,-0.427
20250804-233650,0.183,0.0,-0.488
20250804-233651,0.183,0.0,-0.488
20250804-233652,0.183,0.0,-0.488
20250804-233653,0.183,0.0,-0.488
20250804-233654,0.183,0.061,-0.488
20250804-233655,0.183,0.0,-0.427
20250804-233656,0.183,0.0,-0.488
20250804-233657,0.183,0.0,-0.488
20250804-233658,0.183,0.0,-0.427
20250804-233659,0.183,0.0,-0.427
20250804-233700,3.174,0.244,-1.892
20250804-233701,0.122,0.0,-0.488
20250804-233702,0.183,0.0,-0.427
20250804-233703,0.183,0.0,-0.488
20250804-233704,0.183,0.0,-0.488
20250804-233705,0.183,0.0,-0.488
20250804-233706,0.244,0.0,-0.427
20250804-233707,0.183,0.0,-0.488
20250804-233708,0.183,0.0,-0.427
20250804-233709,0.122,0.0,-0.488
20250804-233710,0.183,0.0,-0.488
20250804-233711,0.183,0.0,-0.427
20250804-233712,0.183,0.0,-0.488
20250804-233713,0.183,0.061,-0.488
20250804-233714,0.183,0.0,-0.427
20250804-233715,0.183,-0.061,-0.488
20250804-233716,0.183,-0.061,-0.427
20250804-233717,0.183,0.061,-0.427
20250804-233718,0.183,0.0,-0.427
20250804-233719,0.122,0.0,-0.488
