time,value
2025-09-09T03:06:39.352968453Z,"{""lat"":-37.8480029,""lon"":145.1142882}"
2025-09-09T03:06:40.368062202Z,"{""lat"":-37.8480029,""lon"":145.1142882}"
2025-09-09T03:06:41.369984701Z,"{""lat"":-37.8480029,""lon"":145.1142882}"
2025-09-09T03:06:42.381764432Z,"{""lat"":-37.8480029,""lon"":145.1142882}"
2025-09-09T03:06:43.411939597Z,"{""lat"":-37.8480029,""lon"":145.1142882}"
2025-09-09T03:06:44.403114574Z,"{""lat"":-37.8480029,""lon"":145.1142882}"
2025-09-09T03:06:45.423751784Z,"{""lat"":-37.8480029,""lon"":145.1142882}"
2025-09-09T03:06:46.448408508Z,"{""lat"":-37.8480029,""lon"":145.1142882}"
2025-09-09T03:06:47.440785209Z,"{""lat"":-37.8480029,""lon"":145.1142882}"
2025-09-09T03:06:48.494792219Z,"{""lat"":-37.8480029,""lon"":145.1142882}"
2025-09-09T03:06:49.493877454Z,"{""lat"":-37.8480029,""lon"":145.1142882}"
2025-09-09T03:06:50.505751549Z,"{""lat"":-37.8480029,""lon"":145.1142882}"
2025-09-09T03:06:51.449686227Z,"{""lat"":-37.8480029,""lon"":145.1142882}"
2025-09-09T03:06:52.477045597Z,"{""lat"":-37.8480029,""lon"":145.1142882}"
2025-09-09T03:06:53.478806368Z,"{""lat"":-37.8480029,""lon"":145.1142882}"
2025-09-09T03:06:54.625493967Z,"{""lat"":-37.8480029,""lon"":145.1142882}"
2025-09-09T03:06:55.629687786Z,"{""lat"":-37.8480029,""lon"":145.1142882}"
2025-09-09T03:06:56.648835181Z,"{""lat"":-37.8480029,""lon"":145.1142882}"
2025-09-09T03:06:57.683375747Z,"{""lat"":-37.8480029,""lon"":145.1142882}"
2025-09-09T03:06:58.704736786Z,"{""lat"":-37.8480029,""lon"":145.1142882}"
2025-09-09T03:06:59.715881882Z,"{""lat"":-37.8480029,""lon"":145.1142882}"
2025-09-09T03:07:00.69997738Z,"{""lat"":-37.8480029,""lon"":145.1142882}"
2025-09-09T03:07:02.099058433Z,"{""lat"":-37.8480029,""lon"":145.1142882}"
2025-09-09T03:07:02.789907466Z,"{""lat"":-37.8480029,""lon"":145.1142882}"
2025-09-09T03:07:03.767960606Z,"{""lat"":-37.8480029,""lon"":145.1142882}"
2025-09-09T03:07:04.755996408Z,"{""lat"":-37.8480029,""lon"":145.1142882}"
2025-09-09T03:07:05.7881968Z,"{""lat"":-37.8480029,""lon"":145.1142882}"
2025-09-09T03:07:06.80506673Z,"{""lat"":-37.8480029,""lon"":145.1142882}"
2025-09-09T03:07:07.787808742Z,"{""lat"":-37.8480029,""lon"":145.1142882}"
2025-09-09T03:07:08.825735678Z,"{""lat"":-37.8480029,""lon"":145.1142882}"
2025-09-09T03:07:09.850989684Z,"{""lat"":-37.8480029,""lon"":145.1142882}"
2025-09-09T03:07:10.825966719Z,"{""lat"":-37.8480118,""lon"":145.1142863}"
2025-09-09T03:07:11.85698753Z,"{""lat"":-37.8480118,""lon"":145.1142863}"
2025-09-09T03:07:12.889746915Z,"{""lat"":-37.8480118,""lon"":145.1142863}"
2025-09-09T03:07:13.887978873Z,"{""lat"":-37.8480118,""lon"":145.1142863}"
2025-09-09T03:07:14.88895943Z,"{""lat"":-37.8480118,""lon"":145.1142863}"
2025-09-09T03:07:15.893869312Z,"{""lat"":-37.8480118,""lon"":145.1142863}"
2025-09-09T03:07:16.963978733Z,"{""lat"":-37.8480118,""lon"":145.1142863}"
2025-09-09T03:07:17.98172096Z,"{""lat"":-37.8480118,""lon"":145.1142863}"
2025-09-09T03:07:18.945956445Z,"{""lat"":-37.8480118,""lon"":145.1142863}"
2025-09-09T03:07:19.943166692Z,"{""lat"":-37.8480118,""lon"":145.1142863}"
2025-09-09T03:07:20.976865715Z,"{""lat"":-37.8480118,""lon"":145.1142863}"
2025-09-09T03:07:21.947733223Z,"{""lat"":-37.8480118,""lon"":145.1142863}"
2025-09-09T03:07:22.993032393Z,"{""lat"":-37.8480118,""lon"":145.1142863}"
2025-09-09T03:07:23.981326551Z,"{""lat"":-37.8480118,""lon"":145.1142863}"
2025-09-09T03:07:24.997945377Z,"{""lat"":-37.8480118,""lon"":145.1142863}"
2025-09-09T03:07:26.009826926Z,"{""lat"":-37.8480118,""lon"":145.1142863}"
2025-09-09T03:07:27.026972474Z,"{""lat"":-37.8480118,""lon"":145.1142863}"
2025-09-09T03:07:28.051836148Z,"{""lat"":-37.847991,""lon"":145.1142967}"
2025-09-09T03:07:29.080048097Z,"{""lat"":-37.847991,""lon"":145.1142967}"
2025-09-09T03:07:30.124485048Z,"{""lat"":-37.847991,""lon"":145.1142967}"
2025-09-09T03:07:31.069263838Z,"{""lat"":-37.847991,""lon"":145.1142967}"
2025-09-09T03:07:32.088148728Z,"{""lat"":-37.847991,""lon"":145.1142967}"
2025-09-09T03:07:33.094141324Z,"{""lat"":-37.847991,""lon"":145.1142967}"
2025-09-09T03:07:34.092197468Z,"{""lat"":-37.847991,""lon"":145.1142967}"
2025-09-09T03:07:35.119331508Z,"{""lat"":-37.847991,""lon"":145.1142967}"
2025-09-09T03:07:36.138811636Z,"{""lat"":-37.847991,""lon"":145.1142967}"
2025-09-09T03:07:37.140922479Z,"{""lat"":-37.847991,""lon"":145.1142967}"
2025-09-09T03:07:38.16596038Z,"{""lat"":-37.847991,""lon"":145.1142967}"
2025-09-09T03:07:39.213343288Z,"{""lat"":-37.847991,""lon"":145.1142967}"
2025-09-09T03:07:40.211201332Z,"{""lat"":-37.847991,""lon"":145.1142967}"
2025-09-09T03:07:41.21119843Z,"{""lat"":-37.8480139,""lon"":145.1142867}"
2025-09-09T03:07:42.203727985Z,"{""lat"":-37.8480139,""lon"":145.1142867}"
2025-09-09T03:07:43.256377104Z,"{""lat"":-37.8480139,""lon"":145.1142867}"
2025-09-09T03:07:44.234146274Z,"{""lat"":-37.8480139,""lon"":145.1142867}"
2025-09-09T03:07:45.25776594Z,"{""lat"":-37.8480139,""lon"":145.1142867}"
2025-09-09T03:07:46.324149968Z,"{""lat"":-37.8480139,""lon"":145.1142867}"
2025-09-09T03:07:47.348599183Z,"{""lat"":-37.8480139,""lon"":145.1142867}"
2025-09-09T03:07:48.370092322Z,"{""lat"":-37.8480139,""lon"":145.1142867}"
2025-09-09T03:07:49.330810487Z,"{""lat"":-37.8480139,""lon"":145.1142867}"
2025-09-09T03:07:50.318024738Z,"{""lat"":-37.8480139,""lon"":145.1142867}"
2025-09-09T03:07:57.71587556Z,"{""lat"":-37.8480139,""lon"":145.1142867}"
2025-09-09T03:07:58.689931436Z,"{""lat"":-37.8479946,""lon"":145.1142876}"
2025-09-09T03:07:59.706854568Z,"{""lat"":-37.8479946,""lon"":145.1142876}"
2025-09-09T03:08:00.719222713Z,"{""lat"":-37.8479946,""lon"":145.1142876}"
2025-09-09T03:08:01.804111281Z,"{""lat"":-37.8479946,""lon"":145.1142876}"
2025-09-09T03:08:02.770343859Z,"{""lat"":-37.8479946,""lon"":145.1142876}"
2025-09-09T03:08:03.787170877Z,"{""lat"":-37.8479946,""lon"":145.1142876}"
2025-09-09T03:08:04.798908318Z,"{""lat"":-37.8479946,""lon"":145.1142876}"
2025-09-09T03:08:05.799384527Z,"{""lat"":-37.8479946,""lon"":145.1142876}"
2025-09-09T03:08:06.918300629Z,"{""lat"":-37.8479946,""lon"":145.1142876}"
2025-09-09T03:08:07.974067751Z,"{""lat"":-37.8479946,""lon"":145.1142876}"
2025-09-09T03:08:08.889356488Z,"{""lat"":-37.8479946,""lon"":145.1142876}"
2025-09-09T03:08:09.90205571Z,"{""lat"":-37.8479946,""lon"":145.1142876}"
2025-09-09T03:08:10.896892515Z,"{""lat"":-37.8480091,""lon"":145.1142977}"
2025-09-09T03:08:11.925160007Z,"{""lat"":-37.8480091,""lon"":145.1142977}"
2025-09-09T03:08:12.93776388Z,"{""lat"":-37.8480091,""lon"":145.1142977}"
2025-09-09T03:08:13.899951572Z,"{""lat"":-37.8480091,""lon"":145.1142977}"
2025-09-09T03:08:14.911946607Z,"{""lat"":-37.8480091,""lon"":145.1142977}"
2025-09-09T03:08:15.917782259Z,"{""lat"":-37.8480091,""lon"":145.1142977}"
2025-09-09T03:08:16.936999772Z,"{""lat"":-37.8480091,""lon"":145.1142977}"
2025-09-09T03:08:17.995947955Z,"{""lat"":-37.8480091,""lon"":145.1142977}"
2025-09-09T03:08:18.956872193Z,"{""lat"":-37.8480091,""lon"":145.1142977}"
2025-09-09T03:08:19.95800904Z,"{""lat"":-37.8480091,""lon"":145.1142977}"
2025-09-09T03:08:20.973948009Z,"{""lat"":-37.8480091,""lon"":145.1142977}"
2025-09-09T03:08:21.997244904Z,"{""lat"":-37.8480091,""lon"":145.1142977}"
2025-09-09T03:08:23.026941657Z,"{""lat"":-37.8480091,""lon"":145.1142977}"
2025-09-09T03:08:24.03510467Z,"{""lat"":-37.8480091,""lon"":145.1142977}"
2025-09-09T03:08:25.034737262Z,"{""lat"":-37.8480091,""lon"":145.1142977}"
2025-09-09T03:08:26.028942209Z,"{""lat"":-37.8480091,""lon"":145.1142977}"
2025-09-09T03:08:27.052725322Z,"{""lat"":-37.8480091,""lon"":145.1142977}"
2025-09-09T03:08:28.079750205Z,"{""lat"":-37.8479982,""lon"":145.1142831}"
2025-09-09T03:08:29.123874835Z,"{""lat"":-37.8479982,""lon"":145.1142831}"
2025-09-09T03:08:30.097557155Z,"{""lat"":-37.8479982,""lon"":145.1142831}"
2025-09-09T03:08:31.095034623Z,"{""lat"":-37.8479982,""lon"":145.1142831}"
2025-09-09T03:08:32.153407137Z,"{""lat"":-37.8479982,""lon"":145.1142831}"
2025-09-09T03:08:33.171877094Z,"{""lat"":-37.8479982,""lon"":145.1142831}"
2025-09-09T03:08:34.151974562Z,"{""lat"":-37.8479982,""lon"":145.1142831}"
2025-09-09T03:08:35.17188493Z,"{""lat"":-37.8479982,""lon"":145.1142831}"
2025-09-09T03:08:36.174466755Z,"{""lat"":-37.8479982,""lon"":145.1142831}"
2025-09-09T03:08:37.195295783Z,"{""lat"":-37.8479982,""lon"":145.1142831}"
2025-09-09T03:08:38.212846875Z,"{""lat"":-37.8479982,""lon"":145.1142831}"
2025-09-09T03:08:39.225347462Z,"{""lat"":-37.8479982,""lon"":145.1142831}"
2025-09-09T03:08:40.225856752Z,"{""lat"":-37.8479982,""lon"":145.1142831}"
2025-09-09T03:08:41.23130459Z,"{""lat"":-37.8480019,""lon"":145.1142829}"
2025-09-09T03:08:42.269139079Z,"{""lat"":-37.8480019,""lon"":145.1142829}"
2025-09-09T03:08:43.284010011Z,"{""lat"":-37.8480019,""lon"":145.1142829}"
2025-09-09T03:08:44.276208241Z,"{""lat"":-37.8480019,""lon"":145.1142829}"
2025-09-09T03:08:45.283995437Z,"{""lat"":-37.8480019,""lon"":145.1142829}"
2025-09-09T03:08:46.344904459Z,"{""lat"":-37.8480019,""lon"":145.1142829}"
2025-09-09T03:08:47.326293614Z,"{""lat"":-37.8480019,""lon"":145.1142829}"
2025-09-09T03:08:48.324973648Z,"{""lat"":-37.8480019,""lon"":145.1142829}"
2025-09-09T03:08:49.331212616Z,"{""lat"":-37.8480019,""lon"":145.1142829}"
2025-09-09T03:08:50.3641978Z,"{""lat"":-37.8480019,""lon"":145.1142829}"
2025-09-09T03:08:51.396190013Z,"{""lat"":-37.8480019,""lon"":145.1142829}"
2025-09-09T03:08:52.468565056Z,"{""lat"":-37.8480019,""lon"":145.1142829}"
2025-09-09T03:08:53.377209278Z,"{""lat"":-37.8480019,""lon"":145.1142829}"
2025-09-09T03:08:54.392897565Z,"{""lat"":-37.8480019,""lon"":145.1142829}"
2025-09-09T03:08:55.420008438Z,"{""lat"":-37.8480019,""lon"":145.1142829}"
2025-09-09T03:08:56.429898883Z,"{""lat"":-37.8480019,""lon"":145.1142829}"
